"yr","r","s","Val"
"1997","AL","ppd",1.01193068056584
"1997","AL","res",0.167295573289168
"1997","AL","com",0.081395834842458
"1997","AL","amb",1.03542798176523
"1997","AL","fbp",0.161331606979734
"1997","AL","rec",0.0802212753302744
"1997","AL","con",1.55739282416855
"1997","AL","agr",1.25596209081848
"1997","AL","eec",0.257451111057989
"1997","AL","fnd",0.852013688772729
"1997","AL","pub",0.186550484888226
"1997","AL","hou",6.42846496459382
"1997","AL","fbt",0.284991865564521
"1997","AL","ins",0.622122199031834
"1997","AL","tex",0.446320355881015
"1997","AL","leg",0.432680957455824
"1997","AL","fen",0.205325490733694
"1997","AL","uti",1.62578966147442
"1997","AL","nmp",0.342085099260361
"1997","AL","brd",1.49248709312342
"1997","AL","bnk",2.29975897317678
"1997","AL","ore",1.20855431930245
"1997","AL","edu",0.0850364825067323
"1997","AL","ote",0.100426515934446
"1997","AL","man",0.0722653551379098
"1997","AL","mch",0.186245165567129
"1997","AL","dat",0.0449517360247377
"1997","AL","amd",0.183310503822847
"1997","AL","oil",0.195311162510878
"1997","AL","hos",0.203937828069128
"1997","AL","rnt",0.67828256383001
"1997","AL","pla",0.338121153230232
"1997","AL","fof",0.158047942645225
"1997","AL","fin",0.0175194336583529
"1997","AL","tsv",0.877024571049668
"1997","AL","nrs",0.0299214213378149
"1997","AL","sec",0.0776829584200776
"1997","AL","art",0.0699030509072233
"1997","AL","mov",0.020551025707154
"1997","AL","fpd",0.245668076593115
"1997","AL","slg",0.349114911875569
"1997","AL","pri",0.0102351842796758
"1997","AL","grd",0.0114093938124383
"1997","AL","pip",0.00359470248631953
"1997","AL","sle",0.648362567291626
"1997","AL","osv",0.745778083204884
"1997","AL","trn",0.0715676659438695
"1997","AL","smn",0.0545730670116906
"1997","AL","fmt",0.608523521414595
"1997","AL","pet",0.213721864997993
"1997","AL","mvt",0.434196943992663
"1997","AL","cep",0.356624795091255
"1997","AL","wst",0.0619279037049385
"1997","AL","mot",0.288456583369371
"1997","AL","adm",0.39047449731355
"1997","AL","soc",0.0756618676192851
"1997","AL","alt",0.189429375696973
"1997","AL","pmt",0.377859945685468
"1997","AL","trk",0.429701634670942
"1997","AL","fdd",2.37831981075948
"1997","AL","gmt",0.14093145547522
"1997","AL","wtt",0.0265689173287851
"1997","AL","wpd",0.301320138056025
"1997","AL","wht",1.87456006255847
"1997","AL","wrh",0.0292549565033505
"1997","AL","ott",0.963424528271377
"1997","AL","che",0.908304598156247
"1997","AL","air",0.0227034384881871
"1997","AL","mmf",0.122739093877709
"1997","AL","otr",0.157245149484182
"1997","AL","min",0.299090226178519
"1997","AK","ppd",0.0156469998562064
"1997","AK","res",0.0759706199301323
"1997","AK","com",0.0107454725222797
"1997","AK","amb",0.159095882061302
"1997","AK","fbp",0.0427004188817879
"1997","AK","rec",0.0211038389164097
"1997","AK","con",0.354150315130207
"1997","AK","agr",0.0197262516097861
"1997","AK","eec",0.00103050775052313
"1997","AK","fnd",0.209214856521509
"1997","AK","pub",0.0274348889682479
"1997","AK","hou",1.48770803047425
"1997","AK","fbt",0.0703977343703073
"1997","AK","ins",0.100030236380367
"1997","AK","tex",0.000775295966174814
"1997","AK","leg",0.0426476110131368
"1997","AK","fen",0.0313345049559749
"1997","AK","uti",0.231993144013007
"1997","AK","nmp",0.00931400547399836
"1997","AK","brd",0.271319267702148
"1997","AK","bnk",0.279648808654976
"1997","AK","ore",0.276217940944872
"1997","AK","edu",0.0172066746388268
"1997","AK","ote",0.000933632137146966
