"year","r","hh","source","value"
2016,"AL","hh2","hwsval",0.0859154120787231
2016,"AL","hh2","hseval",0.1201855654878
2016,"AL","hh2","hfrval",0.0878176008839326
2016,"AL","hh2","hucval",0.414790646342967
2016,"AL","hh2","hwcval",0.257406690091652
2016,"AL","hh2","hssval",0.337817222327217
2016,"AL","hh2","hssival",0.245532214055143
2016,"AL","hh2","hpawval",0.223777886625149
2016,"AL","hh2","hvetval",0.13392357584658
2016,"AL","hh2","hsurval",0.218975252425155
2016,"AL","hh2","hdisval",0.181862650508335
2016,"AL","hh2","hretval",0.0876972738971306
2016,"AL","hh2","hintval",0.0233036140253192
2016,"AL","hh2","hdivval",0.0183090296271166
2016,"AL","hh2","hrntval",0.0510551350052041
2016,"AL","hh2","hedval",0.10983991699534
2016,"AL","hh2","hcspval",0.311071808754485
2016,"AL","hh2","hfinval",0.467722237283834
2016,"AL","hh2","hoival",0.244131605579794
2016,"AL","hh2","htotval",0.111309113071649
2016,"AL","hh3","hwsval",0.148794836297025
2016,"AL","hh3","hseval",0.194049735628328
2016,"AL","hh3","hfrval",0.11361814060744
2016,"AL","hh3","hucval",0.155373256856015
2016,"AL","hh3","hwcval",0.4407916813815
2016,"AL","hh3","hssval",0.186564574077939
2016,"AL","hh3","hssival",0.108015141698507
2016,"AL","hh3","hpawval",0.149192647014614
2016,"AL","hh3","hvetval",0.264373474735397
2016,"AL","hh3","hsurval",0.0516825477272431
2016,"AL","hh3","hdisval",0.204517756732288
2016,"AL","hh3","hretval",0.182546000779683
2016,"AL","hh3","hintval",0.0601405964770609
2016,"AL","hh3","hdivval",0.0707655678254535
2016,"AL","hh3","hrntval",0.0839097115835317
2016,"AL","hh3","hedval",0.29000720242562
2016,"AL","hh3","hcspval",0.0981529095549045
2016,"AL","hh3","hfinval",0.0798656053005247
2016,"AL","hh3","hoival",0.000587195676925681
2016,"AL","hh3","htotval",0.151832070728679
2016,"AL","hh4","hwsval",0.246182030985508
2016,"AL","hh4","hseval",0.230442696619582
2016,"AL","hh4","hfrval",6.2547648222538e-06
2016,"AL","hh4","hucval",0.234624300279703
2016,"AL","hh4","hwcval",0.0638515321699973
2016,"AL","hh4","hssval",0.122643208839053
2016,"AL","hh4","hssival",0.0366365494140546
2016,"AL","hh4","hpawval",0.175030606139164
2016,"AL","hh4","hvetval",0.28339928387765
2016,"AL","hh4","hsurval",0.283306305145803
2016,"AL","hh4","hdisval",0.182631462419819
2016,"AL","hh4","hretval",0.293868464126294
2016,"AL","hh4","hintval",0.152674356215662
2016,"AL","hh4","hdivval",0.172254186298584
2016,"AL","hh4","hrntval",0.176907152706449
2016,"AL","hh4","hedval",0.287827488057431
2016,"AL","hh4","hcspval",0.233985697580694
2016,"AL","hh4","hfinval",0.0272537377975338
2016,"AL","hh4","hoival",0.00091336619134625
2016,"AL","hh4","htotval",0.228821394518987
2016,"AL","hh5","hwsval",0.500228092020637
2016,"AL","hh5","hseval",0.428746544459032
2016,"AL","hh5","hfrval",0.798560177511943
2016,"AL","hh5","hucval",0.0870940847351551
2016,"AL","hh5","hwcval",0.224614292240011
2016,"AL","hh5","hssval",0.130509226839775
2016,"AL","hh5","hssival",0.00692062222062939
2016,"AL","hh5","hpawval",0
2016,"AL","hh5","hvetval",0.191316942725755
2016,"AL","hh5","hsurval",0.0364064173581573
2016,"AL","hh5","hdisval",0.163735567089336
2016,"AL","hh5","hretval",0.427049128914706
2016,"AL","hh5","hintval",0.756485981063332
2016,"AL","hh5","hdivval",0.73420430644288
2016,"AL","hh5","hrntval",0.681683061961561
2016,"AL","hh5","hedval",0.250313710561905
2016,"AL","hh5","hcspval",0.0989918779783411
2016,"AL","hh5","hfinval",0.178250536086644
2016,"AL","hh5","hoival",0.719568733445656
2016,"AL","hh5","htotval",0.462657096051596
2016,"AK","hh1","hwsval",0.00819170836254243
2016,"AK","hh1","hseval",0.00714876038665646
2016,"AK","hh1","hfrval",0
2016,"AK","hh1","hucval",0.118201208876221
2016,"AK","hh1","hwcval",0
2016,"AK","hh1","hssval",0.0913899528866245
2016,"AK","hh1","hssival",0.478348586313371
2016,"AK","hh1","hpawval",0.370904179195699
2016,"AK","hh1","hvetval",0.130036582881213
2016,"AK","hh1","hsurval",0.251962080519324
2016,"AK","hh1","hdisval",0.395394471502449
2016,"AK","hh1","hretval",0.00670474668311659
2016,"AK","hh1","hintval",0.0113420504410986
