"state","hh","tl","tp","tl_avg","tlp"
"al","hh1",0.0693902230788713,0.142127264282397,-0.0808616236123017,0.211517487361268
"ak","hh1",0.0396209626111801,0.142127264282397,-0.0777659172323276,0.181748226893577
"az","hh1",-0.0162977129948863,0.142127264282397,-0.129086474169076,0.12582955128751
"ar","hh1",0.0120929655280356,0.142127264282397,-0.130380054358874,0.154220229810432
"ca","hh1",0.0258599750964009,0.142127264282397,-0.140542276402949,0.167987239378798
"co","hh1",0.0312662755458762,0.142127264282397,-0.127822223356614,0.173393539828273
"ct","hh1",-0.0250738726049301,0.142127264282397,-0.160936095612298,0.117053391677467
"de","hh1",0.0125209784059591,0.142127264282397,-0.148573704385813,0.154648242688356
"dc","hh1",0.0760383035625638,0.142127264282397,-0.152015079649895,0.21816556784496
"fl","hh1",0.017351529347819,0.142127264282397,-0.119572241803784,0.159478793630216
"ga","hh1",-0.012829116827617,0.142127264282397,-0.115026284603809,0.12929814745478
"hi","hh1",0.110551501056596,0.142127264282397,-0.095394816642149,0.252678765338993
"id","hh1",0.00925943069229083,0.142127264282397,-0.108765137771647,0.151386694974687
"il","hh1",0.0239490990096169,0.142127264282397,-0.129113858447995,0.166076363292014
"in","hh1",0.0457554823214006,0.142127264282397,-0.0651048972239388,0.187882746603797
"ia","hh1",0.0293685384592542,0.142127264282397,-0.15177447922228,0.171495802741651
"ks","hh1",-0.0249184837397549,0.142127264282397,-0.218635064208173,0.117208780542642
"ky","hh1",0.0310625415883757,0.142127264282397,-0.100389936644012,0.173189805870772
"la","hh1",0.0274482971938771,0.142127264282397,-0.138991837840103,0.169575561476274
"me","hh1",0.0495144501914701,0.142127264282397,-0.0956580082782971,0.191641714473867
"md","hh1",0.0560739856405312,0.142127264282397,-0.175200724050401,0.198201249922928
"ma","hh1",0.035367137408912,0.142127264282397,-0.101693754211304,0.177494401691309
"mi","hh1",0.0557031495227493,0.142127264282397,-0.110172607144953,0.197830413805146
"mn","hh1",0.117324242851638,0.142127264282397,-0.198848950170353,0.259451507134034
"ms","hh1",-0.00256890382235994,0.142127264282397,-0.134673063461686,0.139558360460037
"mo","hh1",0.00684593156067502,0.142127264282397,-0.134134336957684,0.148973195843072
"mt","hh1",0.0136320921419675,0.142127264282397,-0.100845440597788,0.155759356424364
"ne","hh1",0.00514580147611346,0.142127264282397,-0.0956014253963268,0.14727306575851
"nv","hh1",0.0672155480624831,0.142127264282397,-0.0746530413174898,0.20934281234488
"nh","hh1",-0.0544020296230856,0.142127264282397,-0.19374186733576,0.0877252346593111
"nj","hh1",0.0209057664135045,0.142127264282397,-0.141543840317107,0.163033030695901
"nm","hh1",-0.00820729007056018,0.142127264282397,-0.153247243697768,0.133919974211836
"ny","hh1",0.0509936284198605,0.142127264282397,-0.144511078162797,0.193120892702257
"nc","hh1",0.0406535417233821,0.142127264282397,-0.13132447937908,0.182780806005779
"nd","hh1",-0.0113838834526678,0.142127264282397,-0.102173426454893,0.130743380829729
"oh","hh1",0.0121373162168837,0.142127264282397,-0.110654101882313,0.15426458049928
"ok","hh1",0.0347058182115061,0.142127264282397,-0.154875775730429,0.176833082493903
"or","hh1",0.100829399695129,0.142127264282397,-0.0573296783999157,0.242956663977526
"pa","hh1",0.00596594084551787,0.142127264282397,-0.152700828288871,0.148093205127915
"ri","hh1",-0.0207660987612185,0.142127264282397,-0.139378292778947,0.121361165521178
