"year","r","hh","source","value"
2016,"AL","hh2","hsurval",24375257
2016,"AL","hh2","hdisval",141916487.36
2016,"AL","hh2","hretval",617190991.52
2016,"AL","hh2","hintval",115775110.4
2016,"AL","hh2","hdivval",30950468.14
2016,"AL","hh2","hrntval",57810193.43
2016,"AL","hh2","hedval",89672572
2016,"AL","hh2","hcspval",89210087.48
2016,"AL","hh2","hfinval",245819112
2016,"AL","hh2","hoival",12543413.76
2016,"AL","hh2","htotval",15434598275.18
2016,"AL","hh3","hwsval",15190513393.69
2016,"AL","hh3","hseval",694435366.41
2016,"AL","hh3","hfrval",53970191.87
2016,"AL","hh3","hucval",32649652.8
2016,"AL","hh3","hwcval",52443808.56
2016,"AL","hh3","hssval",2321238550.93
2016,"AL","hh3","hssival",122677175.08
2016,"AL","hh3","hpawval",6905137.2
2016,"AL","hh3","hvetval",308455085.56
2016,"AL","hh3","hsurval",5753049.12
2016,"AL","hh3","hdisval",159595395.52
2016,"AL","hh3","hretval",1284712080.69
2016,"AL","hh3","hintval",298785595.62
2016,"AL","hh3","hdivval",119625534.34
2016,"AL","hh3","hrntval",95011729.12
2016,"AL","hh3","hedval",236759936.2
2016,"AL","hh3","hcspval",28148579.85
2016,"AL","hh3","hfinval",41974682
2016,"AL","hh3","hoival",30169.95
2016,"AL","hh3","htotval",21053685114.51
2016,"AL","hh4","hwsval",25132803879.74
2016,"AL","hh4","hseval",824672901.23
2016,"AL","hh4","hfrval",2971.1
2016,"AL","hh4","hucval",49303220.5
2016,"AL","hh4","hwcval",7596825.6
2016,"AL","hh4","hssval",1525928198.18
2016,"AL","hh4","hssival",41609614.32
2016,"AL","hh4","hpawval",8101004.8
2016,"AL","hh4","hvetval",330653256.51
2016,"AL","hh4","hsurval",31536276
2016,"AL","hh4","hdisval",142516429.6
2016,"AL","hh4","hretval",2068171115.14
2016,"AL","hh4","hintval",758504257.19
2016,"AL","hh4","hdivval",291186797.64
2016,"AL","hh4","hrntval",200313577
2016,"AL","hh4","hedval",234980432
2016,"AL","hh4","hcspval",67103105.98
2016,"AL","hh4","hfinval",14323650
2016,"AL","hh4","hoival",46928.5
2016,"AL","hh4","htotval",31729354441.03
2016,"AL","hh5","hwsval",51068449153.51
2016,"AL","hh5","hseval",1534332230.52
2016,"AL","hh5","hfrval",379327154.71
2016,"AL","hh5","hucval",18301680
2016,"AL","hh5","hwcval",26723800.47
2016,"AL","hh5","hssval",1623797283.54
2016,"AL","hh5","hssival",7860031.2
2016,"AL","hh5","hpawval",0
2016,"AL","hh5","hvetval",223217113.58
2016,"AL","hh5","hsurval",4052584.8
2016,"AL","hh5","hdisval",127771021
2016,"AL","hh5","hretval",3005462582.7
2016,"AL","hh5","hintval",3758311817.15
2016,"AL","hh5","hdivval",1241134426.98
2016,"AL","hh5","hrntval",771875927.19
2016,"AL","hh5","hedval",204354435.5
2016,"AL","hh5","hcspval",28389181.68
2016,"AL","hh5","hfinval",93682500
2016,"AL","hh5","hoival",36971240.7
2016,"AL","hh5","htotval",64154014165.23
2016,"AK","hh1","hwsval",147158174.08
2016,"AK","hh1","hseval",7389146
2016,"AK","hh1","hfrval",0
2016,"AK","hh1","hucval",7262765
2016,"AK","hh1","hwcval",0
2016,"AK","hh1","hssval",112977874.48
2016,"AK","hh1","hssival",30537139.35
2016,"AK","hh1","hpawval",18889987.88
2016,"AK","hh1","hvetval",29566806.36
2016,"AK","hh1","hsurval",29917270.08
2016,"AK","hh1","hdisval",38706252.68
2016,"AK","hh1","hretval",10782434.64
2016,"AK","hh1","hintval",7792262.46
2016,"AK","hh1","hdivval",6160822.94
2016,"AK","hh1","hrntval",110520
2016,"AK","hh1","hedval",9783450.2
2016,"AK","hh1","hcspval",11697344.03
2016,"AK","hh1","hfinval",5468284
2016,"AK","hh1","hoival",13128188.65
2016,"AK","hh1","htotval",487328722.83
2016,"AK","hh2","hwsval",862143528.76
2016,"AK","hh2","hseval",32253132.05
2016,"AK","hh2","hfrval",-539.43
2016,"AK","hh2","hucval",18739158.82
2016,"AK","hh2","hwcval",10844335
2016,"AK","hh2","hssval",271488171.33
2016,"AK","hh2","hssival",18228826.74
2016,"AK","hh2","hpawval",5326541.72
2016,"AK","hh2","hvetval",74661555.54
2016,"AK","hh2","hsurval",11339244
2016,"AK","hh2","hdisval",40151785.16
2016,"AK","hh2","hretval",126832467.91
2016,"AK","hh2","hintval",8964858.83
2016,"AK","hh2","hdivval",7605928.36
2016,"AK","hh2","hrntval",11759596.35
2016,"AK","hh2","hedval",35182774.5
2016,"AK","hh2","hcspval",8494168.12
