"year","r","hh","n"
2016,"CA","hh5",1562
2016,"CO","hh5",221
2016,"CT","hh5",209
2016,"DE","hh5",149
2016,"DC","hh5",428
2016,"FL","hh5",537
2016,"GA","hh5",261
2016,"HI","hh5",303
2016,"ID","hh5",167
2016,"IL","hh5",466
2016,"IN","hh5",187
2016,"IA","hh5",158
2016,"KS","hh5",152
2016,"KY","hh5",135
2016,"LA","hh5",228
2016,"ME","hh5",104
2016,"MD","hh5",277
2016,"MA","hh5",405
2016,"MI","hh5",294
2016,"MN","hh5",208
2016,"MS","hh5",148
2016,"MO","hh5",155
2016,"MT","hh5",250
2016,"NE","hh5",148
2016,"NV","hh5",152
2016,"NH","hh5",250
2016,"NJ","hh5",410
2016,"NM","hh5",199
2016,"NY","hh5",671
2016,"NC","hh5",264
2016,"ND","hh5",182
2016,"OH","hh5",329
2016,"OK","hh5",168
2016,"OR","hh5",193
2016,"PA","hh5",360
2016,"RI","hh5",134
2016,"SC","hh5",166
2016,"SD","hh5",117
2016,"TN","hh5",204
2016,"TX","hh5",840
2016,"UT","hh5",216
2016,"VT","hh5",184
2016,"VA","hh5",334
2016,"WA","hh5",308
2016,"WV","hh5",194
2016,"WI","hh5",180
2016,"WY","hh5",174
2022,"US","hh1",11325
2022,"US","hh2",11273
2022,"US","hh3",11288
2022,"US","hh4",11535
2022,"US","hh5",11418
2022,"AL","hh1",325
2022,"AK","hh1",90
2022,"AZ","hh1",193
2022,"AR","hh1",272
2022,"CA","hh1",919
2022,"CO","hh1",97
2022,"CT","hh1",106
2022,"DE","hh1",91
2022,"DC","hh1",212
2022,"FL","hh1",646
2022,"GA","hh1",262
2022,"HI","hh1",148
2022,"ID","hh1",141
2022,"IL","hh1",263
2022,"IN","hh1",174
2022,"IA","hh1",100
2022,"KS","hh1",130
2022,"KY","hh1",169
2022,"LA","hh1",392
2022,"ME","hh1",90
2022,"MD","hh1",84
2022,"MA","hh1",212
2022,"MI","hh1",259
2022,"MN","hh1",95
2022,"MS","hh1",381
2022,"MO","hh1",175
2022,"MT","hh1",182
2022,"NE","hh1",105
2022,"NV","hh1",140
2022,"NH","hh1",93
2022,"NJ","hh1",168
2022,"NM","hh1",308
2022,"NY","hh1",485
2022,"NC","hh1",345
2022,"ND","hh1",112
2022,"OH","hh1",277
2022,"OK","hh1",220
2022,"OR","hh1",118
2022,"PA","hh1",313
2022,"RI","hh1",81
2022,"SC","hh1",240
2022,"SD","hh1",121
2022,"TN","hh1",201
2022,"TX","hh1",702
2022,"UT","hh1",87
2022,"VT","hh1",143
2022,"VA","hh1",159
2022,"WA","hh1",149
2022,"WV","hh1",293
2022,"WI","hh1",135
2022,"WY","hh1",122
2022,"AL","hh2",300
